Iteration,Epoch,LearnRate,Loss,Accuracy
1,1,0.001,0.764880895614624,62.5
2,1,0.001,0.498361676931381,77.5
3,1,0.001,0.650370419025421,72.5
4,1,0.001,0.742335140705109,60
5,1,0.001,0.560417473316193,80
6,1,0.001,0.596583366394043,72.5
7,1,0.001,0.507722079753876,77.5
8,1,0.001,0.372358828783035,85
9,1,0.001,0.416246563196182,85
10,1,0.001,0.399367153644562,80
11,1,0.001,0.245356991887093,97.5
12,1,0.001,0.329026699066162,85
13,1,0.001,0.37942773103714,77.5
14,1,0.001,0.253611266613007,92.5
15,1,0.001,0.251125425100327,95
16,1,0.001,0.238704293966293,97.5
17,1,0.001,0.197050496935844,97.5
18,1,0.001,0.227849006652832,90
19,1,0.001,0.273721933364868,92.5
20,1,0.001,0.139322474598885,100
21,1,0.001,0.203027755022049,97.5
22,1,0.001,0.131326988339424,100
23,1,0.001,0.132871031761169,97.5
24,1,0.001,0.114098370075226,100
25,1,0.001,0.0765045136213303,100
26,1,0.001,0.165582239627838,95
27,1,0.001,0.104548908770084,97.5
28,1,0.001,0.0786518082022667,100
29,1,0.001,0.161198332905769,90
30,1,0.001,0.137194350361824,95
31,1,0.001,0.0965207144618034,95
32,1,0.001,0.0610081143677235,100
33,1,0.001,0.071067675948143,100
34,1,0.001,0.0493409559130669,100
35,1,0.001,0.093032494187355,97.5
36,1,0.001,0.0362397879362106,100
37,1,0.001,0.0745071545243263,97.5
38,1,0.001,0.11560795456171,97.5
39,1,0.001,0.047164149582386,100
40,1,0.001,0.0864657983183861,97.5
41,1,0.001,0.0376753583550453,100
42,1,0.001,0.0649782866239548,97.5
43,1,0.001,0.0294551141560078,100
44,1,0.001,0.0763619765639305,100
45,1,0.001,0.059284619987011,97.5
46,2,0.001,0.0352799892425537,100
47,2,0.001,0.0183834861963987,100
48,2,0.001,0.0329589620232582,97.5
49,2,0.001,0.0415209420025349,100
50,2,0.001,0.0346626453101635,97.5
51,2,0.001,0.0189783219248056,100
52,2,0.001,0.0342921614646912,100
53,2,0.001,0.0185201726853848,100
54,2,0.001,0.0562490522861481,97.5
55,2,0.001,0.0120070045813918,100
56,2,0.001,0.0229089520871639,100
57,2,0.001,0.0131953088566661,100
58,2,0.001,0.055388081818819,100
59,2,0.001,0.0125264851376414,100
60,2,0.001,0.0316112264990807,97.5
61,2,0.001,0.0112403240054846,100
62,2,0.001,0.0100642321631312,100
63,2,0.001,0.0342853702604771,100
64,2,0.001,0.0251451674848795,100
65,2,0.001,0.0112572284415364,100
66,2,0.001,0.0106310760602355,100
67,2,0.001,0.016674380749464,100
68,2,0.001,0.0127902971580625,100
69,2,0.001,0.0104305054992437,100
70,2,0.001,0.00799229834228754,100
71,2,0.001,0.0120524391531944,100
72,2,0.001,0.0129162799566984,100
73,2,0.001,0.0112053761258721,100
74,2,0.001,0.0118593377992511,100
75,2,0.001,0.0100699458271265,100
76,2,0.001,0.0100603485479951,100
77,2,0.001,0.007109634578228,100
78,2,0.001,0.0177584551274776,100
79,2,0.001,0.00831643305718899,100
80,2,0.001,0.0135766444727778,100
81,2,0.001,0.00749638397246599,100
82,2,0.001,0.0108219105750322,100
83,2,0.001,0.0109947025775909,100
84,2,0.001,0.00726902205497026,100
85,2,0.001,0.0131803620606661,100
86,2,0.001,0.00967796519398689,100
87,2,0.001,0.0115823652595282,100
88,2,0.001,0.00684295501559973,100
89,2,0.001,0.0100137647241354,100
90,2,0.001,0.0108967097476125,100
91,3,0.001,0.0044550527818501,100
92,3,0.001,0.00481802597641945,100
93,3,0.001,0.00552552798762918,100
94,3,0.001,0.0137418434023857,100
95,3,0.001,0.00539981061592698,100
96,3,0.001,0.00618752837181091,100
97,3,0.001,0.00661284988746047,100
98,3,0.001,0.00519732292741537,100
99,3,0.001,0.00685440003871918,100
100,3,0.001,0.00473735202103853,100
101,3,0.001,0.00771877774968743,100
102,3,0.001,0.00590385403484106,100
103,3,0.001,0.0163006968796253,100
104,3,0.001,0.00548827648162842,100
105,3,0.001,0.0114399781450629,100
106,3,0.001,0.00378301367163658,100
107,3,0.001,0.00379115203395486,100
108,3,0.001,0.0109578026458621,100
109,3,0.001,0.00972091872245073,100
110,3,0.001,0.0070166289806366,100
111,3,0.001,0.00404977612197399,100
112,3,0.001,0.00858637131750584,100
113,3,0.001,0.00479767005890608,100
114,3,0.001,0.00429677916690707,100
115,3,0.001,0.00370120001025498,100
116,3,0.001,0.00521090906113386,100
117,3,0.001,0.00479112938046455,100
118,3,0.001,0.00521320337429643,100
119,3,0.001,0.0074894018471241,100
120,3,0.001,0.00553592666983604,100
121,3,0.001,0.00354935345239937,100
122,3,0.001,0.00326540623791516,100
123,3,0.001,0.00592858204618096,100
124,3,0.001,0.00376783311367035,100
125,3,0.001,0.00432754214853048,100
126,3,0.001,0.00384175847284496,100
127,3,0.001,0.0057441066019237,100
128,3,0.001,0.00529993698000908,100
129,3,0.001,0.00399121129885316,100
130,3,0.001,0.00572300376370549,100
131,3,0.001,0.00477562192827463,100
132,3,0.001,0.00616511655971408,100
133,3,0.001,0.00336744636297226,100
134,3,0.001,0.00587683590129018,100
135,3,0.001,0.00523241050541401,100
136,4,0.001,0.00282873259857297,100
137,4,0.001,0.00321391667239368,100
138,4,0.001,0.00285699288360775,100
139,4,0.001,0.00761901866644621,100
140,4,0.001,0.00370381446555257,100
141,4,0.001,0.00385754974558949,100
142,4,0.001,0.00430200807750225,100
143,4,0.001,0.00368029926903546,100
144,4,0.001,0.00462323566898704,100
145,4,0.001,0.0029222636949271,100
146,4,0.001,0.005382907576859,100
147,4,0.001,0.00336792948655784,100
148,4,0.001,0.0087175639346242,100
149,4,0.001,0.00363546377047896,100
150,4,0.001,0.00562820490449667,100
151,4,0.001,0.00222711870446801,100
152,4,0.001,0.00234078941866755,100
153,4,0.001,0.00599234038963914,100
154,4,0.001,0.00624327640980482,100
155,4,0.001,0.00406052824109793,100
156,4,0.001,0.00268331868574023,100
157,4,0.001,0.00470253545790911,100
158,4,0.001,0.00320791825652122,100
159,4,0.001,0.00294449203647673,100
160,4,0.001,0.00253452779725194,100
161,4,0.001,0.00337905948981643,100
162,4,0.001,0.00306498445570469,100
163,4,0.001,0.00354090565815568,100
164,4,0.001,0.0053555378690362,100
165,4,0.001,0.00378210050985217,100
166,4,0.001,0.0024160579778254,100
167,4,0.001,0.0021789912134409,100
168,4,0.001,0.00387110421434045,100
169,4,0.001,0.0024707829579711,100
170,4,0.001,0.00286717782728374,100
171,4,0.001,0.00261605717241764,100
172,4,0.001,0.00395336980000138,100
173,4,0.001,0.00370554928667843,100
174,4,0.001,0.00274490774609149,100
175,4,0.001,0.00379403261467814,100
176,4,0.001,0.00322178192436695,100
177,4,0.001,0.00410605827346444,100
178,4,0.001,0.00233278190717101,100
179,4,0.001,0.00392380217090249,100
180,4,0.001,0.00367741286754608,100
181,5,0.001,0.00203451630659401,100
182,5,0.001,0.00232198718003929,100
183,5,0.001,0.00199223612435162,100
184,5,0.001,0.00576803693547845,100
185,5,0.001,0.00270930910483003,100
186,5,0.001,0.00276953307911754,100
187,5,0.001,0.00299729988910258,100
188,5,0.001,0.00263498583808541,100
189,5,0.001,0.00333384913392365,100
190,5,0.001,0.00211276998743415,100
191,5,0.001,0.00388277322053909,100
192,5,0.001,0.00246622459962964,100
193,5,0.001,0.00652377167716622,100
194,5,0.001,0.00270359520800412,100
195,5,0.001,0.00360218365676701,100
196,5,0.001,0.00165635091252625,100
197,5,0.001,0.00169767870102078,100
198,5,0.001,0.00435066968202591,100
199,5,0.001,0.0044564725831151,100
200,5,0.001,0.00305915949866176,100
201,5,0.001,0.00201163394376636,100
202,5,0.001,0.00343496655113995,100
203,5,0.001,0.00235359603539109,100
204,5,0.001,0.00220057112164795,100
205,5,0.001,0.00192509905900806,100
206,5,0.001,0.0024731841403991,100
207,5,0.001,0.00224289414472878,100
208,5,0.001,0.00266402657143772,100
209,5,0.001,0.00416906410828233,100
210,5,0.001,0.00286059966310859,100
211,5,0.001,0.00179827469401062,100
212,5,0.001,0.00162383425049484,100
213,5,0.001,0.00287879048846662,100
214,5,0.001,0.00183456426020712,100
215,5,0.001,0.00215170276351273,100
216,5,0.001,0.00199180259369314,100
217,5,0.001,0.00302391778677702,100
218,5,0.001,0.002860511187464,100
219,5,0.001,0.00209504226222634,100
220,5,0.001,0.00284556485712528,100
221,5,0.001,0.00244610174559057,100
222,5,0.001,0.00304680271074176,100
223,5,0.001,0.00175376608967781,100
224,5,0.001,0.00292061199434102,100
225,5,0.001,0.00278912158682942,100
226,6,0.001,0.00160151568707079,100
227,6,0.001,0.00182198116090149,100
228,6,0.001,0.00151998118963093,100
229,6,0.001,0.00456473510712385,100
230,6,0.001,0.0021343152038753,100
231,6,0.001,0.00214725360274315,100
232,6,0.001,0.00230049202218652,100
233,6,0.001,0.0020652306266129,100
234,6,0.001,0.0025946288369596,100
235,6,0.001,0.00164509075693786,100
236,6,0.001,0.00307518313638866,100
237,6,0.001,0.0019203182309866,100
238,6,0.001,0.00519123300909996,100
239,6,0.001,0.00213601696304977,100
240,6,0.001,0.0026353991124779,100
241,6,0.001,0.00130693928804249,100
242,6,0.001,0.00132354418747127,100
243,6,0.001,0.00337816216051579,100
244,6,0.001,0.00345375086180866,100
245,6,0.001,0.00242940010502934,100
246,6,0.001,0.00160115992184728,100
247,6,0.001,0.00267161498777568,100
248,6,0.001,0.0018498549470678,100
249,6,0.001,0.00174420920666307,100
250,6,0.001,0.00154686439782381,100
251,6,0.001,0.00193131680134684,100
252,6,0.001,0.0017736463341862,100
253,6,0.001,0.00212245481088758,100
254,6,0.001,0.00337639753706753,100
255,6,0.001,0.00227647321298718,100
256,6,0.001,0.00141435116529465,100
257,6,0.001,0.00128033035434783,100
258,6,0.001,0.00229327543638647,100
259,6,0.001,0.00144864956382662,100
260,6,0.001,0.0017105070874095,100
261,6,0.001,0.00160967872943729,100
262,6,0.001,0.00244494085200131,100
263,6,0.001,0.00232040765695274,100
264,6,0.001,0.00168107356876135,100
265,6,0.001,0.00226065656170249,100
266,6,0.001,0.00196019420400262,100
267,6,0.001,0.00240137381479144,100
268,6,0.001,0.00139579805545509,100
269,6,0.001,0.00230600335635245,100
270,6,0.001,0.00222805305384099,100
271,7,0.001,0.00131337170023471,100
272,7,0.001,0.00149732083082199,100
273,7,0.001,0.00121942046098411,100
274,7,0.001,0.00378064857795835,100
275,7,0.001,0.00175704492721707,100
276,7,0.001,0.00174164050258696,100
277,7,0.001,0.00185644812881947,100
278,7,0.001,0.0016932130092755,100
279,7,0.001,0.00210748380050063,100
280,7,0.001,0.00133691902738065,100
281,7,0.001,0.00253803539089859,100
282,7,0.001,0.00156378210522234,100
283,7,0.001,0.0043234103359282,100
284,7,0.001,0.00175393675453961,100
285,7,0.001,0.00204668310470879,100
286,7,0.001,0.00107558909803629,100
287,7,0.001,0.0010777561692521,100
288,7,0.001,0.00274850754067302,100
289,7,0.001,0.00280819972977042,100
290,7,0.001,0.00200881576165557,100
291,7,0.001,0.00132775842212141,100
292,7,0.001,0.00217684614472091,100
293,7,0.001,0.00151102710515261,100
294,7,0.001,0.00143840292003006,100
295,7,0.001,0.00128796137869358,100
296,7,0.001,0.00157118495553732,100
297,7,0.001,0.00146514805965126,100
298,7,0.001,0.00175421498715878,100
299,7,0.001,0.00281926291063428,100
300,7,0.001,0.00188269000500441,100
301,7,0.001,0.00115188653580844,100
302,7,0.001,0.00104971020482481,100
303,7,0.001,0.00190087372902781,100
304,7,0.001,0.00118751917034388,100
305,7,0.001,0.00141559354960918,100
306,7,0.001,0.00134617451112717,100
307,7,0.001,0.00204630056396127,100
308,7,0.001,0.00194349291268736,100
309,7,0.001,0.00139519793447107,100
310,7,0.001,0.00186481955461204,100
311,7,0.001,0.00162926537450403,100
312,7,0.001,0.00196621147915721,100
313,7,0.001,0.001151965232566,100
314,7,0.001,0.00189695018343627,100
315,7,0.001,0.00184413383249193,100
316,8,0.001,0.00111034873407334,100
317,8,0.001,0.00126819161232561,100
318,8,0.001,0.00101291970349848,100
319,8,0.001,0.00322082126513124,100
320,8,0.001,0.00148610130418092,100
321,8,0.001,0.00145920715294778,100
322,8,0.001,0.00154856988228858,100
323,8,0.001,0.0014307105448097,100
324,8,0.001,0.00176129525061697,100
325,8,0.001,0.00111895566806197,100
326,8,0.001,0.00215960247442126,100
327,8,0.001,0.00131054385565221,100
328,8,0.001,0.00370301050134003,100
329,8,0.001,0.00147955887950957,100
330,8,0.001,0.00166279170662165,100
331,8,0.001,0.000909571535885334,100
332,8,0.001,0.000902258441783488,100
333,8,0.001,0.00231089489534497,100
334,8,0.001,0.00235547567717731,100
335,8,0.001,0.00170992536004633,100
336,8,0.001,0.00112878566142172,100
337,8,0.001,0.0018319763476029,100
338,8,0.001,0.00127299851737916,100
339,8,0.001,0.00121744361240417,100
340,8,0.001,0.00110200047492981,100
341,8,0.001,0.00131940399296582,100
342,8,0.001,0.00124307011719793,100
343,8,0.001,0.00148759060539305,100
344,8,0.001,0.00241398951038718,100
345,8,0.001,0.00159873068332672,100
346,8,0.001,0.000968984502833337,100
347,8,0.001,0.000886970781721175,100
348,8,0.001,0.00161933829076588,100
349,8,0.001,0.00100379658397287,100
350,8,0.001,0.00120399706065655,100
351,8,0.001,0.00115542695857584,100
352,8,0.001,0.00175624084658921,100
353,8,0.001,0.00166631140746176,100
354,8,0.001,0.00119101745076478,100
355,8,0.001,0.00158023124095052,100
356,8,0.001,0.00138978066388518,100
357,8,0.001,0.00165149045642465,100
358,8,0.001,0.000977067858912051,100
359,8,0.001,0.00160401617176831,100
360,8,0.001,0.00156751833856106,100
361,9,0.001,0.000959090539254248,100
362,9,0.001,0.00109905225690454,100
363,9,0.001,0.000863269728142768,100
364,9,0.001,0.00279517518356442,100
365,9,0.001,0.00128276983741671,100
366,9,0.001,0.00124914734624326,100
367,9,0.001,0.00132644223049283,100
368,9,0.001,0.00123658590018749,100
369,9,0.001,0.00150777352973819,100
370,9,0.001,0.000959605094976723,100
371,9,0.001,0.00187570159323514,100
372,9,0.001,0.00112475443165749,100
373,9,0.001,0.00324018183164299,100
374,9,0.001,0.00127301050815731,100
375,9,0.001,0.00139409163966775,100
376,9,0.001,0.000786360702477396,100
377,9,0.001,0.000774223182816058,100
378,9,0.001,0.00198718765750527,100
379,9,0.001,0.00202052155509591,100
380,9,0.001,0.00148484762758017,100
381,9,0.001,0.000979503383859992,100
382,9,0.001,0.00157546659465879,100
383,9,0.001,0.0010957297636196,100
384,9,0.001,0.00105410080868751,100
385,9,0.001,0.000961024430580437,100
386,9,0.001,0.00113366113509983,100
