Iteration,Epoch,LearnRate,Loss,Accuracy
1,1,0.001,1.4153391122818,40
2,1,0.001,1.11171936988831,72.5
3,1,0.001,1.00996875762939,77.5
4,1,0.001,1.17392468452454,72.5
5,1,0.001,1.02736878395081,72.5
6,1,0.001,0.671678900718689,72.5
7,1,0.001,0.8100905418396,70
8,1,0.001,0.1666559278965,92.5
9,1,0.001,0.383322298526764,87.5
10,1,0.001,0.679070770740509,82.5
11,1,0.001,0.295843064785004,92.5
12,1,0.001,0.246618866920471,90
13,1,0.001,0.702075242996216,77.5
14,1,0.001,0.509110808372498,77.5
15,1,0.001,0.19958958029747,92.5
16,1,0.001,0.848198294639587,80
17,1,0.001,0.217278957366943,90
18,1,0.001,0.0926245450973511,97.5
19,1,0.001,0.346155494451523,87.5
20,1,0.001,0.114701882004738,97.5
21,1,0.001,0.0805962234735489,95
22,1,0.001,0.141456961631775,92.5
23,1,0.001,0.695234715938568,87.5
24,1,0.001,0.0901362895965576,97.5
25,1,0.001,0.115444637835026,97.5
26,1,0.001,0.298994839191437,92.5
27,1,0.001,0.0948975160717964,97.5
28,1,0.001,0.0117404274642467,100
29,1,0.001,0.100535094738007,95
30,1,0.001,0.0684527382254601,95
31,1,0.001,0.138080567121506,95
32,1,0.001,0.0682885721325874,97.5
33,1,0.001,0.192419946193695,95
34,1,0.001,0.267815321683884,97.5
35,1,0.001,0.0692564472556114,97.5
36,1,0.001,0.0848067924380302,92.5
37,1,0.001,0.359056293964386,92.5
38,1,0.001,0.00737091060727835,100
39,1,0.001,0.0804039984941483,97.5
40,1,0.001,0.0524927787482738,97.5
41,1,0.001,0.241374686360359,85
42,1,0.001,0.0266905538737774,100
43,1,0.001,0.21633169054985,92.5
44,1,0.001,0.0677535086870193,97.5
45,1,0.001,0.292696952819824,92.5
46,2,0.001,0.193097934126854,95
47,2,0.001,0.270123302936554,92.5
48,2,0.001,0.00376370549201965,100
49,2,0.001,0.246956944465637,92.5
50,2,0.001,0.0222739391028881,100
51,2,0.001,0.0662587806582451,97.5
52,2,0.001,0.0418636687099934,97.5
53,2,0.001,0.112863823771477,97.5
54,2,0.001,0.112080335617065,97.5
55,2,0.001,0.0090428227558732,100
56,2,0.001,0.127417877316475,97.5
57,2,0.001,0.0261835251003504,97.5
58,2,0.001,0.0584678761661053,100
59,2,0.001,0.0540264621376991,97.5
60,2,0.001,0.156088918447495,92.5
61,2,0.001,0.0458951108157635,97.5
62,2,0.001,0.00521884951740503,100
63,2,0.001,0.00885225273668766,100
