Iteration,Epoch,LearnRate,Loss,Accuracy
1,1,0.001,1.23859667778015,52.5
2,1,0.001,1.44272303581238,55
3,1,0.001,0.890821278095245,75
4,1,0.001,0.764685451984406,67.5
5,1,0.001,0.6902996301651,70
6,1,0.001,0.570436656475067,85
7,1,0.001,0.28591850399971,85
8,1,0.001,0.463603079319,85
9,1,0.001,0.879774272441864,80
10,1,0.001,0.325026512145996,87.5
11,1,0.001,0.636741399765015,80
12,1,0.001,0.38078561425209,85
13,1,0.001,0.151107385754585,92.5
14,1,0.001,0.491047561168671,85
15,1,0.001,0.152061864733696,92.5
16,1,0.001,0.254155337810516,90
17,1,0.001,0.416899114847183,90
18,1,0.001,0.51489269733429,90
19,1,0.001,0.102067925035954,95
20,1,0.001,0.0726647078990936,95
21,1,0.001,0.10142619907856,95
22,1,0.001,0.279573231935501,92.5
23,1,0.001,0.117393411695957,95
24,1,0.001,0.399042457342148,87.5
25,1,0.001,0.066393718123436,95
26,1,0.001,0.0751676112413406,97.5
27,1,0.001,0.503401577472687,87.5
28,1,0.001,0.248237729072571,87.5
29,1,0.001,0.0831608325242996,95
30,1,0.001,0.0917607173323631,95
31,1,0.001,0.336639553308487,92.5
32,1,0.001,0.11019416898489,97.5
33,1,0.001,0.00531688379123807,100
34,1,0.001,0.271340548992157,95
35,1,0.001,0.122438825666904,97.5
36,1,0.001,0.00928514078259468,100
37,1,0.001,0.258562982082367,92.5
38,1,0.001,0.0062687648460269,100
39,1,0.001,0.0945104509592056,97.5
40,1,0.001,0.0696015208959579,97.5
41,1,0.001,0.00421362323686481,100
42,1,0.001,0.149366468191147,92.5
43,1,0.001,0.304579436779022,90
44,1,0.001,0.065408743917942,95
45,1,0.001,0.109953448176384,95
46,2,0.001,0.193306982517242,92.5
47,2,0.001,0.00998850911855698,100
48,2,0.001,0.0512881278991699,97.5
49,2,0.001,0.0139504326507449,100
50,2,0.001,0.0355244651436806,100
51,2,0.001,0.0625615492463112,97.5
52,2,0.001,0.223760396242142,95
53,2,0.001,0.0832463651895523,97.5
54,2,0.001,0.119332984089851,95
55,2,0.001,0.042535237967968,97.5
56,2,0.001,0.0341568849980831,97.5
57,2,0.001,0.00799153186380863,100
58,2,0.001,0.0164095014333725,100
59,2,0.001,0.145396754145622,95
60,2,0.001,0.0214068107306957,100
61,2,0.001,0.0635138005018234,97.5
62,2,0.001,0.0106887826696038,100
63,2,0.001,0.135142430663109,95
64,2,0.001,0.141966298222542,92.5
65,2,0.001,0.0654212981462479,95
66,2,0.001,0.000853305566124618,100
67,2,0.001,0.00051134277600795,100
68,2,0.001,0.0803555473685265,95
69,2,0.001,0.0425985641777515,97.5
70,2,0.001,0.0138943493366241,100
71,2,0.001,0.0192462541162968,100
72,2,0.001,0.138503298163414,97.5
73,2,0.001,0.0282299276441336,100
74,2,0.001,0.0163176786154509,100
75,2,0.001,0.0807184725999832,97.5
76,2,0.001,0.0276266988366842,97.5
77,2,0.001,0.027564138174057,100
78,2,0.001,0.0306677408516407,100
79,2,0.001,0.0371235869824886,97.5
80,2,0.001,0.0774361044168472,95
81,2,0.001,0.000445484969532117,100
82,2,0.001,0.0251786597073078,97.5
83,2,0.001,0.000509733450599015,100
84,2,0.001,0.0192981548607349,100
85,2,0.001,0.0216338653117418,100
86,2,0.001,0.000930893525946885,100
87,2,0.001,0.0549104511737823,97.5
88,2,0.001,0.13995049893856,95
89,2,0.001,0.0853118225932121,95
90,2,0.001,0.185707539319992,95
91,3,0.001,0.0660020262002945,97.5
92,3,0.001,0.17055681347847,95
93,3,0.001,0.00722964713349938,100
94,3,0.001,0.000928521272726357,100
95,3,0.001,0.00408116308972239,100
96,3,0.001,0.0858274698257446,97.5
97,3,0.001,0.0250653717666864,100
98,3,0.001,0.000386493687983602,100
99,3,0.001,0.0309064034372568,97.5
100,3,0.001,0.00250010937452316,100
101,3,0.001,0.141102030873299,97.5
102,3,0.001,0.0254907421767712,97.5
103,3,0.001,5.24676652275957e-05,100
104,3,0.001,0.0341362729668617,97.5
105,3,0.001,0.0133035983890295,100
106,3,0.001,0.0143319694325328,100
107,3,0.001,0.000215132327866741,100
108,3,0.001,0.00514729553833604,100
109,3,0.001,0.00801277346909046,100
110,3,0.001,0.00476823514327407,100
111,3,0.001,0.00267520174384117,100
112,3,0.001,0.00342037086375058,100
113,3,0.001,0.0119324456900358,100
114,3,0.001,0.00703725125640631,100
115,3,0.001,0.00954242330044508,100
116,3,0.001,0.00211962894536555,100
117,3,0.001,0.00692736869677901,100
118,3,0.001,0.0679358839988708,95
