Iteration,Epoch,LearnRate,Loss,Accuracy
1,1,0.001,0.676615238189697,67.5
2,1,0.001,0.670108139514923,67.5
3,1,0.001,0.654890418052673,62.5
4,1,0.001,0.646351337432861,60
5,1,0.001,0.574108004570007,77.5
6,1,0.001,0.681561827659607,67.5
7,1,0.001,0.630254209041595,80
8,1,0.001,0.64144241809845,75
9,1,0.001,0.647262394428253,75
10,1,0.001,0.613525927066803,70
11,1,0.001,0.572482287883759,77.5
12,1,0.001,0.531368553638458,77.5
13,1,0.001,0.695232033729553,60
14,1,0.001,0.608717978000641,67.5
15,1,0.001,0.479803740978241,75
16,1,0.001,0.637064754962921,67.5
17,1,0.001,0.599747359752655,77.5
18,1,0.001,0.734819412231445,65
19,1,0.001,0.543299615383148,75
20,1,0.001,0.526923954486847,70
21,1,0.001,0.567011892795563,67.5
22,1,0.001,0.605184078216553,77.5
23,1,0.001,0.481893718242645,72.5
24,1,0.001,0.561105072498322,77.5
25,1,0.001,0.454099029302597,72.5
26,1,0.001,0.638524651527405,65
27,1,0.001,0.621429264545441,70
28,1,0.001,0.676279902458191,60
29,1,0.001,0.608750760555267,70
30,1,0.001,0.624456584453583,80
31,1,0.001,0.535569846630096,77.5
32,1,0.001,0.653803586959839,72.5
33,1,0.001,0.71997731924057,67.5
34,1,0.001,0.451163470745087,80
35,1,0.001,0.693889737129211,65
36,1,0.001,0.493739604949951,75
37,1,0.001,0.47974044084549,82.5
38,1,0.001,0.555542826652527,80
39,1,0.001,0.525143086910248,72.5
40,1,0.001,0.557014584541321,72.5
41,1,0.001,0.753405392169952,62.5
42,1,0.001,0.554485499858856,72.5
43,1,0.001,0.459914594888687,77.5
44,1,0.001,0.529477119445801,85
45,1,0.001,0.615802407264709,67.5
46,2,0.001,0.416503340005875,82.5
47,2,0.001,0.595052659511566,65
48,2,0.001,0.531095147132874,67.5
49,2,0.001,0.614816546440125,67.5
50,2,0.001,0.465526342391968,82.5
51,2,0.001,0.450162887573242,72.5
52,2,0.001,0.463159143924713,75
53,2,0.001,0.422784417867661,77.5
54,2,0.001,0.516090214252472,80
55,2,0.001,0.629103779792786,70
56,2,0.001,0.475646108388901,75
57,2,0.001,0.421756744384766,77.5
58,2,0.001,0.602610468864441,67.5
59,2,0.001,0.581368207931519,70
60,2,0.001,0.525367915630341,72.5
61,2,0.001,0.476844251155853,67.5
62,2,0.001,0.455124318599701,75
63,2,0.001,0.475482523441315,72.5
64,2,0.001,0.506630063056946,77.5
65,2,0.001,0.458578109741211,75
66,2,0.001,0.471791088581085,65
67,2,0.001,0.420110881328583,70
68,2,0.001,0.434598833322525,72.5
69,2,0.001,0.436737835407257,75
70,2,0.001,0.419606685638428,80
71,2,0.001,0.416493028402328,77.5
72,2,0.001,0.356504678726196,80
73,2,0.001,0.650691568851471,65
74,2,0.001,0.414424270391464,80
75,2,0.001,0.435834884643555,80
76,2,0.001,0.427561581134796,72.5
77,2,0.001,0.549539387226105,72.5
78,2,0.001,0.487141609191895,72.5
79,2,0.001,0.309727430343628,87.5
80,2,0.001,0.389176815748215,75
81,2,0.001,0.298681855201721,82.5
82,2,0.001,0.355195194482803,87.5
83,2,0.001,0.31554239988327,85
84,2,0.001,0.274577677249908,87.5
