Iteration,Epoch,LearnRate,Loss,Accuracy
1,1,0.001,0.663251996040344,52.5
2,1,0.001,0.71293580532074,35
3,1,0.001,0.666671395301819,57.5
4,1,0.001,0.667288661003113,65
5,1,0.001,0.6358722448349,70
6,1,0.001,0.584770083427429,75
7,1,0.001,0.521978855133057,82.5
8,1,0.001,0.6606684923172,75
9,1,0.001,0.643939018249512,80
10,1,0.001,0.801762580871582,72.5
11,1,0.001,0.793671429157257,65
12,1,0.001,0.514012932777405,82.5
13,1,0.001,0.566672503948212,72.5
14,1,0.001,0.562199473381042,72.5
15,1,0.001,0.744352996349335,55
16,1,0.001,0.424504667520523,82.5
17,1,0.001,0.463131338357925,82.5
18,1,0.001,0.695199966430664,65
19,1,0.001,0.873546004295349,65
20,1,0.001,0.531161785125732,75
21,1,0.001,0.582492411136627,70
22,1,0.001,0.581078946590424,75
23,1,0.001,0.536681056022644,75
24,1,0.001,0.601942539215088,75
25,1,0.001,0.796130001544952,67.5
26,1,0.001,0.63009911775589,65
27,1,0.001,0.599865138530731,67.5
28,1,0.001,0.576132714748383,65
29,1,0.001,0.573983311653137,77.5
30,1,0.001,0.592467308044434,62.5
31,1,0.001,0.781979262828827,70
32,1,0.001,0.577678024768829,67.5
33,1,0.001,0.689680635929108,60
34,1,0.001,0.469889581203461,80
35,1,0.001,0.61656379699707,70
36,1,0.001,0.584609150886536,72.5
37,1,0.001,0.514566540718079,80
38,1,0.001,0.610132694244385,67.5
39,1,0.001,0.587384045124054,67.5
40,1,0.001,0.582846939563751,72.5
41,1,0.001,0.474042326211929,82.5
42,1,0.001,0.467932462692261,90
43,1,0.001,0.51791250705719,75
44,1,0.001,0.360127866268158,80
45,1,0.001,0.475030720233917,85
46,2,0.001,0.394008636474609,82.5
47,2,0.001,0.593172192573547,67.5
48,2,0.001,0.677736639976501,60
49,2,0.001,0.53875857591629,70
50,2,0.001,0.552546620368958,67.5
51,2,0.001,0.511153638362885,75
52,2,0.001,0.456873893737793,85
53,2,0.001,0.447304636240005,80
54,2,0.001,0.423723518848419,85
55,2,0.001,0.585330128669739,75
56,2,0.001,0.747931599617004,62.5
57,2,0.001,0.442746728658676,77.5
58,2,0.001,0.408884912729263,85
59,2,0.001,0.517048001289368,75
60,2,0.001,0.684414565563202,65
61,2,0.001,0.435919374227524,77.5
62,2,0.001,0.641110181808472,67.5
63,2,0.001,0.546155154705048,70
64,2,0.001,0.526151299476624,70
65,2,0.001,0.587106287479401,75
66,2,0.001,0.49818229675293,70
67,2,0.001,0.412154018878937,85
68,2,0.001,0.444779962301254,75
69,2,0.001,0.525430798530579,72.5
70,2,0.001,0.562272548675537,75
71,2,0.001,0.53262060880661,67.5
72,2,0.001,0.492869198322296,72.5
73,2,0.001,0.508528351783752,85
74,2,0.001,0.430790513753891,75
75,2,0.001,0.463998019695282,72.5
76,2,0.001,0.502804934978485,80
77,2,0.001,0.472492218017578,70
78,2,0.001,0.46854829788208,72.5
79,2,0.001,0.344875633716583,85
80,2,0.001,0.442790895700455,80
81,2,0.001,0.252050578594208,90
82,2,0.001,0.320261180400848,90
83,2,0.001,0.283806502819061,87.5
84,2,0.001,0.376936465501785,85
85,2,0.001,0.323415040969849,87.5
86,2,0.001,0.284228324890137,92.5
