Iteration,Epoch,LearnRate,Loss,Accuracy
1,1,0.001,0.691799759864807,47.5
2,1,0.001,0.692147374153137,37.5
3,1,0.001,0.702711641788483,62.5
4,1,0.001,0.644392371177673,72.5
5,1,0.001,0.651350617408752,60
6,1,0.001,0.576684594154358,80
7,1,0.001,0.56536465883255,75
8,1,0.001,0.573166966438293,75
9,1,0.001,0.549990057945251,77.5
10,1,0.001,0.369747579097748,87.5
11,1,0.001,0.88073194026947,65
12,1,0.001,0.817487061023712,62.5
13,1,0.001,0.67505419254303,70
14,1,0.001,0.624760329723358,67.5
15,1,0.001,0.667338013648987,57.5
16,1,0.001,0.650325179100037,62.5
17,1,0.001,0.641557216644287,62.5
18,1,0.001,0.623655676841736,72.5
19,1,0.001,0.60894900560379,70
20,1,0.001,0.440844625234604,82.5
21,1,0.001,0.680297136306763,72.5
22,1,0.001,0.80783748626709,77.5
23,1,0.001,0.396924197673798,87.5
24,1,0.001,0.640490055084229,67.5
25,1,0.001,0.543733477592468,72.5
26,1,0.001,0.672062397003174,60
27,1,0.001,0.675674796104431,55
28,1,0.001,0.704689025878906,57.5
29,1,0.001,0.485865533351898,90
30,1,0.001,0.573758244514465,72.5
31,1,0.001,0.487266302108765,77.5
32,1,0.001,0.540195643901825,75
33,1,0.001,0.547517895698547,77.5
34,1,0.001,0.796482145786285,62.5
35,1,0.001,0.571466267108917,72.5
36,1,0.001,0.560862243175507,72.5
37,1,0.001,0.576624095439911,72.5
38,1,0.001,0.492006212472916,85
39,1,0.001,0.445105403661728,80
40,1,0.001,0.552880167961121,70
41,1,0.001,0.841483294963837,57.5
42,1,0.001,0.538802981376648,65
43,1,0.001,0.518563807010651,80
44,1,0.001,0.640796840190887,62.5
45,1,0.001,0.57802426815033,72.5
46,2,0.001,0.57531076669693,72.5
47,2,0.001,0.646902561187744,72.5
48,2,0.001,0.464712560176849,80
49,2,0.001,0.545247912406921,72.5
50,2,0.001,0.683762609958649,65
51,2,0.001,0.362658560276031,87.5
52,2,0.001,0.528798937797546,80
53,2,0.001,0.549378871917725,75
54,2,0.001,0.499141871929169,77.5
55,2,0.001,0.405024528503418,90
56,2,0.001,0.684073388576508,65
57,2,0.001,0.634792983531952,62.5
58,2,0.001,0.563311815261841,75
59,2,0.001,0.51350337266922,72.5
60,2,0.001,0.566592216491699,70
61,2,0.001,0.541982769966125,75
62,2,0.001,0.436224371194839,75
63,2,0.001,0.49129456281662,77.5
64,2,0.001,0.658496737480164,72.5
65,2,0.001,0.320406526327133,82.5
66,2,0.001,0.572287857532501,75
67,2,0.001,0.512031137943268,80
68,2,0.001,0.431631475687027,85
69,2,0.001,0.491847664117813,77.5
70,2,0.001,0.469354629516602,75
71,2,0.001,0.546045303344727,75
72,2,0.001,0.487914741039276,72.5
73,2,0.001,0.526761412620544,65
74,2,0.001,0.380862802267075,85
75,2,0.001,0.497272670269012,77.5
76,2,0.001,0.39229542016983,80
77,2,0.001,0.435631424188614,80
78,2,0.001,0.344541519880295,77.5
79,2,0.001,0.611831784248352,70
80,2,0.001,0.458301723003387,80
81,2,0.001,0.342147499322891,82.5
82,2,0.001,0.417980849742889,80
83,2,0.001,0.429028809070587,80
84,2,0.001,0.421968698501587,82.5
85,2,0.001,0.451286017894745,80
86,2,0.001,0.789557635784149,62.5
87,2,0.001,0.532776772975922,67.5
88,2,0.001,0.569302558898926,70
89,2,0.001,0.4991335272789,72.5
90,2,0.001,0.245582967996597,92.5
91,3,0.001,0.326445072889328,87.5
92,3,0.001,0.648440182209015,70
93,3,0.001,0.413267225027084,82.5
94,3,0.001,0.452231496572495,75
95,3,0.001,0.435385853052139,72.5
96,3,0.001,0.514782607555389,72.5
97,3,0.001,0.42170786857605,72.5
98,3,0.001,0.384750038385391,80
99,3,0.001,0.394236147403717,80
100,3,0.001,0.251159191131592,87.5
101,3,0.001,0.665481805801392,67.5
102,3,0.001,0.82317066192627,60
103,3,0.001,0.437251180410385,82.5
104,3,0.001,0.510394632816315,72.5
105,3,0.001,0.56639575958252,72.5
106,3,0.001,0.46912956237793,77.5
107,3,0.001,0.447507083415985,82.5
108,3,0.001,0.358579486608505,82.5
109,3,0.001,0.675539672374725,75
110,3,0.001,0.31533870100975,87.5
111,3,0.001,0.413057506084442,75
112,3,0.001,0.382102787494659,77.5
113,3,0.001,0.256065219640732,90
114,3,0.001,0.323901027441025,87.5
115,3,0.001,0.271169573068619,85
116,3,0.001,0.350355207920074,80
117,3,0.001,0.322973191738129,82.5
118,3,0.001,0.327137559652328,85
119,3,0.001,0.314666539430618,85
120,3,0.001,0.292565762996674,90
121,3,0.001,0.22257587313652,90
122,3,0.001,0.385317623615265,80
123,3,0.001,0.288592159748077,85
124,3,0.001,0.313147246837616,85
125,3,0.001,0.339729845523834,87.5
126,3,0.001,0.335937559604645,82.5
127,3,0.001,0.342591345310211,92.5
128,3,0.001,0.292156875133514,87.5
129,3,0.001,0.267565906047821,85
130,3,0.001,0.248398393392563,85
131,3,0.001,0.629030227661133,65
132,3,0.001,0.232156187295914,90
133,3,0.001,0.268072515726089,87.5
134,3,0.001,0.258929163217545,92.5
135,3,0.001,0.121881984174252,97.5
136,4,0.001,0.236623361706734,90
137,4,0.001,0.257918834686279,92.5
138,4,0.001,0.204786375164986,90
139,4,0.001,0.164739921689034,97.5
140,4,0.001,0.217433929443359,95
141,4,0.001,0.153715997934341,95
142,4,0.001,0.316428363323212,85
143,4,0.001,0.263764619827271,90
144,4,0.001,0.26336395740509,90
145,4,0.001,0.130624055862427,95
146,4,0.001,0.251938670873642,90
147,4,0.001,0.336522370576859,85
148,4,0.001,0.323120713233948,87.5
149,4,0.001,0.224071830511093,92.5
150,4,0.001,0.332758605480194,80
151,4,0.001,0.215747877955437,90
152,4,0.001,0.464545637369156,75
153,4,0.001,0.206885784864426,90
154,4,0.001,0.350081145763397,92.5
155,4,0.001,0.126940578222275,97.5
156,4,0.001,0.278210937976837,85
157,4,0.001,0.189365893602371,90
158,4,0.001,0.0902298539876938,100
159,4,0.001,0.179176092147827,97.5
160,4,0.001,0.203223437070847,95
161,4,0.001,0.203603237867355,92.5
162,4,0.001,0.172956854104996,95
163,4,0.001,0.189069792628288,90
164,4,0.001,0.0892262235283852,95
165,4,0.001,0.0660955905914307,100
166,4,0.001,0.10025779902935,97.5
167,4,0.001,0.107072293758392,95
168,4,0.001,0.040390633046627,100
169,4,0.001,0.215717151761055,92.5
170,4,0.001,0.260232925415039,87.5
171,4,0.001,0.282159030437469,90
172,4,0.001,0.130513489246368,97.5
173,4,0.001,0.46184903383255,90
174,4,0.001,0.0661033540964127,97.5
175,4,0.001,0.079310916364193,95
176,4,0.001,0.38601216673851,82.5
177,4,0.001,0.153046950697899,95
178,4,0.001,0.125531598925591,95
179,4,0.001,0.248947337269783,87.5
180,4,0.001,0.129117697477341,95
181,5,0.001,0.159742623567581,95
182,5,0.001,0.251985222101212,92.5
183,5,0.001,0.161261826753616,92.5
184,5,0.001,0.364211082458496,87.5
185,5,0.001,0.105709813535213,97.5
186,5,0.001,0.389664232730865,85
187,5,0.001,0.266197770833969,87.5
188,5,0.001,0.257475107908249,95
189,5,0.001,0.289551347494125,90
190,5,0.001,0.102825835347176,92.5
191,5,0.001,0.240732163190842,87.5
192,5,0.001,0.227426335215569,95
193,5,0.001,0.261445015668869,87.5
194,5,0.001,0.250832557678223,90
195,5,0.001,0.22563624382019,95
196,5,0.001,0.225093454122543,85
197,5,0.001,0.185890585184097,97.5
198,5,0.001,0.213687062263489,92.5
199,5,0.001,0.203295320272446,90
200,5,0.001,0.108428791165352,100
201,5,0.001,0.273028552532196,90
202,5,0.001,0.165385410189629,95
203,5,0.001,0.0775224715471268,97.5
204,5,0.001,0.0997724980115891,97.5
205,5,0.001,0.087536595761776,95
206,5,0.001,0.0811285525560379,97.5
207,5,0.001,0.0397056303918362,100
208,5,0.001,0.21281698346138,90
209,5,0.001,0.0448792167007923,97.5
210,5,0.001,0.035804558545351,97.5
211,5,0.001,0.0957864299416542,95
212,5,0.001,0.170441597700119,95
213,5,0.001,0.283552646636963,92.5
214,5,0.001,0.172577679157257,95
215,5,0.001,0.0662481561303139,97.5
216,5,0.001,0.15917743742466,90
217,5,0.001,0.190957099199295,92.5
218,5,0.001,0.197294265031815,92.5
219,5,0.001,0.139240741729736,100
220,5,0.001,0.100738905370235,100
221,5,0.001,0.212949067354202,90
222,5,0.001,0.0411740504205227,100
223,5,0.001,0.0833895727992058,97.5
224,5,0.001,0.165546700358391,92.5
225,5,0.001,0.0241337660700083,100
226,6,0.001,0.115404680371284,97.5
227,6,0.001,0.0950383394956589,95
228,6,0.001,0.0850618779659271,97.5
229,6,0.001,0.0893406122922897,100
