Iteration,Epoch,LearnRate,Loss,Accuracy
1,1,0.001,0.704682111740112,57.5
2,1,0.001,0.699576735496521,55
3,1,0.001,0.728000819683075,40
4,1,0.001,0.662333607673645,70
5,1,0.001,0.639825284481049,70
6,1,0.001,0.59501576423645,80
7,1,0.001,0.695110261440277,60
8,1,0.001,0.743303418159485,72.5
9,1,0.001,0.546840310096741,77.5
10,1,0.001,0.580063939094543,75
11,1,0.001,0.523596882820129,80
12,1,0.001,0.749039649963379,67.5
13,1,0.001,0.654634237289429,70
14,1,0.001,0.601553738117218,77.5
15,1,0.001,0.430419743061066,85
16,1,0.001,0.583503246307373,75
17,1,0.001,0.537321984767914,80
18,1,0.001,0.570912957191467,72.5
19,1,0.001,0.684504687786102,72.5
20,1,0.001,0.630634665489197,75
21,1,0.001,0.505180716514587,75
22,1,0.001,0.523705303668976,75
23,1,0.001,0.647150695323944,70
24,1,0.001,0.63765811920166,60
25,1,0.001,0.456870943307877,85
26,1,0.001,0.597279906272888,67.5
27,1,0.001,0.951565861701965,52.5
28,1,0.001,0.687666118144989,52.5
29,1,0.001,0.64609682559967,55
30,1,0.001,0.706305861473083,52.5
31,1,0.001,0.539012789726257,77.5
32,1,0.001,0.45787650346756,85
33,1,0.001,0.556999504566193,75
34,1,0.001,0.703616440296173,70
35,1,0.001,0.367534220218658,82.5
36,1,0.001,0.673387408256531,65
37,1,0.001,0.460185915231705,82.5
38,1,0.001,0.515850841999054,77.5
39,1,0.001,0.499261289834976,72.5
40,1,0.001,0.513619422912598,80
41,1,0.001,0.655898094177246,67.5
42,1,0.001,0.536060214042664,75
43,1,0.001,0.485783755779266,80
44,1,0.001,0.601313531398773,67.5
45,1,0.001,0.608113527297974,62.5
46,2,0.001,0.521885395050049,80
47,2,0.001,0.518710613250732,75
48,2,0.001,0.543041348457336,70
49,2,0.001,0.476516634225845,77.5
50,2,0.001,0.473217338323593,82.5
51,2,0.001,0.497283518314362,80
52,2,0.001,0.652991771697998,65
53,2,0.001,0.575357913970947,67.5
54,2,0.001,0.43868225812912,77.5
55,2,0.001,0.517318069934845,70
56,2,0.001,0.413228929042816,85
57,2,0.001,0.441356271505356,77.5
58,2,0.001,0.545744717121124,67.5
59,2,0.001,0.428169429302216,80
60,2,0.001,0.31707090139389,85
61,2,0.001,0.434489905834198,80
62,2,0.001,0.389738261699677,85
63,2,0.001,0.49862414598465,80
64,2,0.001,0.365422576665878,77.5
65,2,0.001,0.421181917190552,70
66,2,0.001,0.386610925197601,80
67,2,0.001,0.4055535197258,82.5
68,2,0.001,0.461175590753555,75
69,2,0.001,0.434185206890106,75
70,2,0.001,0.4307521879673,82.5
71,2,0.001,0.494138866662979,80
72,2,0.001,0.479502022266388,72.5
73,2,0.001,0.372002631425858,85
74,2,0.001,0.500650882720947,77.5
75,2,0.001,0.42018586397171,77.5
76,2,0.001,0.539244651794434,77.5
77,2,0.001,0.45404925942421,82.5
78,2,0.001,0.445638000965118,80
79,2,0.001,0.440244525671005,75
80,2,0.001,0.347592711448669,87.5
81,2,0.001,0.371555417776108,82.5
82,2,0.001,0.28952020406723,90
83,2,0.001,0.411978781223297,77.5
84,2,0.001,0.327510058879852,87.5
85,2,0.001,0.329223811626434,80
86,2,0.001,0.461069762706757,77.5
87,2,0.001,0.24754810333252,92.5
88,2,0.001,0.235473483800888,85
89,2,0.001,0.392258763313293,82.5
90,2,0.001,0.452870279550552,85
91,3,0.001,0.205089449882507,95
92,3,0.001,0.305806696414948,87.5
93,3,0.001,0.40053802728653,87.5
94,3,0.001,0.352244138717651,87.5
95,3,0.001,0.326521694660187,85
96,3,0.001,0.179789423942566,92.5
97,3,0.001,0.337002784013748,85
98,3,0.001,0.365993201732635,85
99,3,0.001,0.442482471466064,80
100,3,0.001,0.442895650863647,77.5
101,3,0.001,0.166855961084366,97.5
102,3,0.001,0.336045622825623,82.5
103,3,0.001,0.354211002588272,82.5
104,3,0.001,0.28503829240799,85
105,3,0.001,0.241486698389053,87.5
106,3,0.001,0.268881648778915,90
107,3,0.001,0.225187689065933,92.5
108,3,0.001,0.14537738263607,97.5
109,3,0.001,0.178929150104523,95
110,3,0.001,0.250091373920441,85
111,3,0.001,0.156145602464676,95
112,3,0.001,0.406684964895248,85
113,3,0.001,0.174459189176559,87.5
114,3,0.001,0.144553929567337,95
115,3,0.001,0.22303993999958,92.5
116,3,0.001,0.237221240997314,92.5
117,3,0.001,0.573475480079651,77.5
118,3,0.001,0.220871537923813,87.5
119,3,0.001,0.566875517368317,70
120,3,0.001,0.216633647680283,92.5
121,3,0.001,0.210657149553299,85
122,3,0.001,0.319496989250183,85
123,3,0.001,0.182593554258347,95
124,3,0.001,0.151115640997887,92.5
125,3,0.001,0.166242510080338,90
126,3,0.001,0.128656148910522,100
127,3,0.001,0.167625769972801,92.5
128,3,0.001,0.197610452771187,90
129,3,0.001,0.136662021279335,97.5
130,3,0.001,0.0820442140102386,97.5
131,3,0.001,0.211880877614021,92.5
132,3,0.001,0.095295749604702,95
133,3,0.001,0.149702116847038,92.5
134,3,0.001,0.338543355464935,85
135,3,0.001,0.478029906749725,85
136,4,0.001,0.287307232618332,87.5
137,4,0.001,0.358068466186523,82.5
138,4,0.001,0.161057382822037,95
139,4,0.001,0.258677572011948,90
140,4,0.001,0.227997019886971,87.5
141,4,0.001,0.167684346437454,95
142,4,0.001,0.185659751296043,95
143,4,0.001,0.243567556142807,87.5
144,4,0.001,0.248173877596855,82.5
145,4,0.001,0.239195063710213,82.5
146,4,0.001,0.163352638483047,90
147,4,0.001,0.059539157897234,100
148,4,0.001,0.188267603516579,95
149,4,0.001,0.31464359164238,90
150,4,0.001,0.189153105020523,90
151,4,0.001,0.154354199767113,97.5
152,4,0.001,0.307445377111435,82.5
153,4,0.001,0.0552856400609016,100
154,4,0.001,0.0948529094457626,100
155,4,0.001,0.0955896601080894,97.5
156,4,0.001,0.0865801349282265,97.5
157,4,0.001,0.144836083054543,95
158,4,0.001,0.0374878272414207,100
159,4,0.001,0.0527968779206276,97.5
160,4,0.001,0.16390785574913,92.5
161,4,0.001,0.190355077385902,92.5
162,4,0.001,0.250800162553787,87.5
163,4,0.001,0.0940736159682274,95
164,4,0.001,0.0910746902227402,97.5
165,4,0.001,0.125797927379608,95
166,4,0.001,0.114879444241524,97.5
167,4,0.001,0.12569785118103,92.5
168,4,0.001,0.0453481785953045,100
169,4,0.001,0.0870709717273712,97.5
170,4,0.001,0.0838868170976639,95
171,4,0.001,0.0754081606864929,95
172,4,0.001,0.0551444962620735,97.5
173,4,0.001,0.0651682987809181,97.5
174,4,0.001,0.080000214278698,97.5
175,4,0.001,0.0414616949856281,100
176,4,0.001,0.0422649085521698,97.5
177,4,0.001,0.0620356425642967,100
178,4,0.001,0.195999890565872,95
179,4,0.001,0.176283657550812,95
180,4,0.001,0.170032978057861,95
181,5,0.001,0.109974905848503,95
182,5,0.001,0.229026705026627,87.5
183,5,0.001,0.0578507110476494,100
184,5,0.001,0.10522898286581,95
185,5,0.001,0.0453055128455162,97.5
186,5,0.001,0.15802675485611,95
187,5,0.001,0.0492402836680412,97.5
188,5,0.001,0.179362505674362,92.5
189,5,0.001,0.123632669448853,95
190,5,0.001,0.192375361919403,95
191,5,0.001,0.179406672716141,97.5
192,5,0.001,0.0517762787640095,97.5
193,5,0.001,0.0695403665304184,97.5
194,5,0.001,0.113638564944267,95
195,5,0.001,0.0833981484174728,97.5
196,5,0.001,0.129456162452698,90
197,5,0.001,0.231432482600212,90
198,5,0.001,0.0879562497138977,97.5
199,5,0.001,0.0517257563769817,100
200,5,0.001,0.0548646673560143,100
201,5,0.001,0.0843565538525581,97.5
202,5,0.001,0.0475157983601093,100
203,5,0.001,0.0775563791394234,95
204,5,0.001,0.021091390401125,100
205,5,0.001,0.0896945670247078,95
206,5,0.001,0.059609055519104,97.5
207,5,0.001,0.0745008885860443,100
208,5,0.001,0.173627912998199,95
209,5,0.001,0.0186534468084574,100
210,5,0.001,0.225015923380852,90
211,5,0.001,0.152931064367294,97.5
212,5,0.001,0.0395204238593578,97.5
213,5,0.001,0.0554099753499031,97.5
214,5,0.001,0.0313973799347878,100
215,5,0.001,0.141802340745926,95
216,5,0.001,0.14085254073143,95
217,5,0.001,0.0220478214323521,100
218,5,0.001,0.0293333828449249,100
219,5,0.001,0.0219484232366085,100
220,5,0.001,0.00463615078479052,100
221,5,0.001,0.165792793035507,90
222,5,0.001,0.0245104040950537,100
223,5,0.001,0.152577191591263,97.5
224,5,0.001,0.0861723870038986,97.5
225,5,0.001,0.411971271038055,87.5
226,6,0.001,0.017486484721303,100
227,6,0.001,0.083917573094368,95
228,6,0.001,0.125296741724014,95
229,6,0.001,0.211825966835022,90
230,6,0.001,0.0360584817826748,100
231,6,0.001,0.034331850707531,100
232,6,0.001,0.780962824821472,85
233,6,0.001,0.121217265725136,90
234,6,0.001,0.0848857834935188,97.5
235,6,0.001,0.593955338001251,80
236,6,0.001,0.394538134336472,87.5
237,6,0.001,0.0765329748392105,95
238,6,0.001,0.0604202076792717,100
239,6,0.001,0.144613951444626,95
240,6,0.001,0.10015594959259,95
241,6,0.001,0.248556569218636,87.5
242,6,0.001,0.248888567090034,90
243,6,0.001,0.0972985550761223,100
244,6,0.001,0.107032619416714,97.5
245,6,0.001,0.14866778254509,97.5
246,6,0.001,0.116984032094479,97.5
247,6,0.001,0.107953727245331,97.5
248,6,0.001,0.135531157255173,97.5
249,6,0.001,0.0897723585367203,97.5
250,6,0.001,0.128364950418472,95
251,6,0.001,0.0730916708707809,97.5
252,6,0.001,0.234269738197327,92.5
253,6,0.001,0.0759429782629013,97.5
254,6,0.001,0.0986272245645523,95
255,6,0.001,0.135456159710884,92.5
256,6,0.001,0.0434451624751091,97.5
257,6,0.001,0.0654056817293167,97.5
258,6,0.001,0.0493342317640781,97.5
259,6,0.001,0.0147821335121989,100
260,6,0.001,0.0762637257575989,97.5
261,6,0.001,0.013834054581821,100
262,6,0.001,0.110488452017307,95
263,6,0.001,0.0317777059972286,100
264,6,0.001,0.0243377778679132,100
265,6,0.001,0.0595220550894737,97.5
266,6,0.001,0.0591955073177814,95
267,6,0.001,0.055730301886797,97.5
268,6,0.001,0.0778628140687943,95
269,6,0.001,0.0216379333287477,100
270,6,0.001,0.149961099028587,95
271,7,0.001,0.00665865745395422,100
