Wall time,Step,Value
1740681057.650267,1,0.5
1740681058.102046,2,0.6527777910232544
1740681058.495099,3,0.7222222089767456
1740681058.885557,4,0.75
1740681059.265047,5,0.75
1740681059.670982,6,0.6898148059844971
1740681060.059965,7,0.7103174328804016
1740681060.457247,8,0.7256944179534912
1740681060.839599,9,0.7376543283462524
1740681061.215754,10,0.7472222447395325
1740681061.599619,11,0.7575757503509521
1740681061.9942,12,0.7569444179534912
1740681062.392869,13,0.7606837749481201
1740681062.791124,14,0.7658730149269104
1740681063.176485,15,0.770370364189148
1740681063.563238,16,0.7760416865348816
1740681063.94523,17,0.7761437892913818
1740681064.335649,18,0.779321014881134
1740681064.715688,19,0.7850877046585083
1740681065.123545,20,0.7944444417953491
1740681065.499949,21,0.7962962985038757
1740681065.888901,22,0.7979797720909119
1740681066.297798,23,0.7995169162750244
1740681066.691168,24,0.7997685074806213
1740681067.075939,25,0.800000011920929
1740681067.474717,26,0.8034188151359558
1740681067.870209,27,0.8076131939888
1740681068.273196,28,0.807539701461792
1740681068.675152,29,0.8084291219711304
1740681069.061172,30,0.8120370507240295
1740681069.458622,31,0.8136200904846191
1740681069.829174,32,0.8090277910232544
1740681070.214069,33,0.808080792427063
1740681070.606116,34,0.8080065250396729
1740681071.011265,35,0.8095238208770752
1740681071.391062,36,0.8117284178733826
1740681071.790986,37,0.8138138055801392
1740681072.168689,38,0.8121345043182373
1740681072.547511,39,0.81339031457901
1740681072.938667,40,0.8159722089767456
1740681073.311717,41,0.8157181739807129
1740681073.68849,42,0.8181216716766357
1740681074.064798,43,0.8152454495429993
1740681074.435152,44,0.8181818127632141
1740681074.839743,45,0.8191357851028442
1740681075.228079,46,0.8170289993286133
1740681075.615883,47,0.817375898361206
1740681075.991686,48,0.8182870149612427
1740681076.365625,49,0.8163265585899353
1740681076.730963,50,0.8161110877990723
1740681078.498121,51,0.9444444179534912
1740681078.879808,52,0.8888888955116272
1740681079.265876,53,0.8703703880310059
1740681079.649915,54,0.8541666865348816
1740681080.032705,55,0.8722222447395325
1740681080.425833,56,0.8796296119689941
1740681080.823821,57,0.8611111044883728
1740681081.202917,58,0.8680555820465088
1740681081.589127,59,0.8703703880310059
1740681081.971431,60,0.8777777552604675
1740681082.344842,61,0.8737373948097229
1740681082.743999,62,0.8680555820465088
1740681083.146248,63,0.8653846383094788
1740681083.553444,64,0.863095223903656
1740681083.936241,65,0.8592592477798462
1740681084.31129,66,0.8559027910232544
1740681084.688642,67,0.8562091588973999
1740681085.083042,68,0.8564814925193787
1740681085.462719,69,0.8581871390342712
1740681085.842371,70,0.862500011920929
1740681086.221994,71,0.8624338507652283
1740681086.59723,72,0.8611111044883728
1740681086.99061,73,0.8635265827178955
1740681087.371259,74,0.8680555820465088
1740681087.75435,75,0.8644444346427917
1740681088.131966,76,0.8653846383094788
1740681088.505999,77,0.8611111044883728
1740681088.886224,78,0.8621031641960144
1740681089.28785,79,0.8630267977714539
1740681089.664666,80,0.8666666746139526
1740681090.047149,81,0.8682795763015747
1740681090.426892,82,0.8689236044883728
1740681090.803651,83,0.8661616444587708
1740681091.196605,84,0.8684640526771545
1740681091.569973,85,0.8690476417541504
1740681091.947813,86,0.8672839403152466
1740681092.329618,87,0.8671171069145203
1740681092.701015,88,0.8684210777282715
1740681093.068664,89,0.867521345615387
1740681093.453704,90,0.8659722208976746
1740681093.839262,91,0.8651761412620544
1740681094.219379,92,0.8644179701805115
1740681094.596519,93,0.8636950850486755
1740681094.973018,94,0.8648989796638489
1740681095.370306,95,0.8641975522041321
1740681095.747574,96,0.8659420013427734
1740681096.130882,97,0.8664302825927734
1740681096.506356,98,0.8645833134651184
1740681096.88047,99,0.8650793433189392
1740681097.261367,100,0.8655555844306946
1740681098.384565,101,0.9444444179534912
1740681098.759963,102,0.9444444179534912
1740681099.157641,103,0.9351851940155029
1740681099.530212,104,0.9444444179534912
1740681099.908958,105,0.9444444179534912
1740681100.283518,106,0.9120370149612427
1740681100.680985,107,0.9126983880996704
1740681101.059579,108,0.8993055820465088
1740681101.435782,109,0.9012345671653748
1740681101.810826,110,0.9027777910232544
1740681102.190397,111,0.8989899158477783
1740681102.584448,112,0.8981481194496155
1740681102.960586,113,0.8888888955116272
1740681103.340219,114,0.8849206566810608
1740681103.730672,115,0.8888888955116272
1740681104.109317,116,0.8854166865348816
1740681104.492534,117,0.8872548937797546
1740681104.886299,118,0.8888888955116272
1740681105.257112,119,0.8932748436927795
1740681105.633973,120,0.8930555582046509
1740681106.009121,121,0.8928571343421936
1740681106.385031,122,0.8964646458625793
1740681106.76023,123,0.8961352705955505
1740681107.13798,124,0.8993055820465088
1740681107.516347,125,0.9011111259460449
1740681107.887704,126,0.9027777910232544
1740681108.264123,127,0.9022634029388428
1740681108.639589,128,0.903769850730896
1740681109.036873,129,0.9022988677024841
1740681109.416961,130,0.9018518328666687
1740681109.795479,131,0.9023297429084778
1740681110.168156,132,0.9036458134651184
1740681110.542936,133,0.9006733894348145
1740681110.934395,134,0.9011437892913818
1740681111.308582,135,0.8999999761581421
1740681111.694269,136,0.897376537322998
1740681112.072975,137,0.8971471190452576
1740681112.456221,138,0.8969298005104065
1740681112.834416,139,0.8988603949546814
1740681113.209281,140,0.9006944298744202
1740681113.579882,141,0.9010840058326721
1740681113.958706,142,0.9007936716079712
1740681114.329613,143,0.9011628031730652
1740681114.715966,144,0.9015151262283325
1740681115.105363,145,0.9006173014640808
1740681115.485022,146,0.9021739363670349
1740681115.87684,147,0.9018912315368652
1740681116.268886,148,0.9016203880310059
1740681116.655755,149,0.9024943113327026
1740681117.056562,150,0.9027777910232544
1740681118.182364,151,0.9166666865348816
1740681118.590497,152,0.9444444179534912
1740681118.980374,153,0.9444444179534912
1740681119.37637,154,0.9375
1740681119.768437,155,0.9444444179534912
1740681120.166827,156,0.9398148059844971
1740681120.569359,157,0.9484127163887024
1740681120.947237,158,0.9409722089767456
1740681121.328514,159,0.9413580298423767
1740681121.708971,160,0.9444444179534912
1740681122.079695,161,0.9444444179534912
1740681122.478354,162,0.9490740895271301
1740681122.867811,163,0.9487179517745972
1740681123.249709,164,0.9444444179534912
1740681123.626767,165,0.9462962746620178
1740681124.033995,166,0.9461805820465088
1740681124.417379,167,0.9444444179534912
1740681124.825105,168,0.9382715821266174
1740681125.226764,169,0.9371345043182373
1740681125.607894,170,0.9347222447395325
1740681126.018407,171,0.9351851940155029
1740681126.405103,172,0.9381313323974609
1740681126.798479,173,0.9371980428695679
1740681127.189534,174,0.9375
1740681127.599306,175,0.9388889074325562
1740681127.989349,176,0.9391025900840759
1740681128.374954,177,0.9393004179000854
1740681128.763869,178,0.9394841194152832
1740681129.163945,179,0.938697338104248
1740681129.569964,180,0.9379629492759705
1740681129.957421,181,0.9399641752243042
1740681130.35655,182,0.9401041865348816
1740681130.730731,183,0.941077470779419
1740681131.127753,184,0.9419934749603271
1740681131.522153,185,0.9404761791229248
1740681131.909578,186,0.9375
1740681132.319442,187,0.9376876950263977
1740681132.70543,188,0.9371345043182373
1740681133.074907,189,0.9358974099159241
1740681133.471452,190,0.9347222447395325
1740681133.85096,191,0.93360435962677
1740681134.227383,192,0.932539701461792
1740681134.604029,193,0.9315245747566223
1740681134.980012,194,0.931186854839325
1740681135.375039,195,0.930246889591217
1740681135.761473,196,0.929347813129425
1740681136.133438,197,0.9284870028495789
1740681136.507514,198,0.9288194179534912
1740681136.88691,199,0.9285714030265808
1740681137.271181,200,0.9266666769981384
1740681138.422404,201,0.9444444179534912
1740681138.795959,202,0.9722222089767456
1740681139.181289,203,0.9537037014961243
1740681139.559443,204,0.9444444179534912
1740681139.936123,205,0.949999988079071
1740681140.313156,206,0.9398148059844971
1740681140.703269,207,0.9285714030265808
1740681141.076561,208,0.9340277910232544
1740681141.456489,209,0.9382715821266174
1740681141.836144,210,0.9388889074325562
1740681142.210478,211,0.9318181872367859
1740681142.601068,212,0.9305555820465088
1740681142.964069,213,0.9337607026100159
1740681143.342792,214,0.9365079402923584
1740681143.722739,215,0.9351851940155029
1740681144.091848,216,0.9340277910232544
1740681144.467161,217,0.9330065250396729
1740681144.867986,218,0.9336419701576233
1740681145.248937,219,0.932748556137085
1740681145.620885,220,0.9347222447395325
1740681146.031008,221,0.9378306865692139
1740681146.415214,222,0.939393937587738
1740681146.806194,223,0.9420289993286133
1740681147.189417,224,0.9432870149612427
1740681147.560448,225,0.9399999976158142
1740681147.930834,226,0.9391025900840759
1740681148.308101,227,0.9403291940689087
1740681148.704811,228,0.9394841194152832
1740681149.111185,229,0.938697338104248
1740681149.488421,230,0.9398148059844971
1740681149.868789,231,0.9372760057449341
1740681150.240431,232,0.9366319179534912
1740681150.637204,233,0.9377104640007019
1740681151.043883,234,0.9370915293693542
1740681151.423582,235,0.9373015761375427
1740681151.800454,236,0.9359567761421204
1740681152.173716,237,0.9369369149208069
1740681152.541389,238,0.9356725215911865
1740681152.911813,239,0.9358974099159241
1740681153.307754,240,0.9361110925674438
1740681153.682679,241,0.9363143444061279
1740681154.059775,242,0.9358465671539307
1740681154.436726,243,0.9360465407371521
1740681154.794233,244,0.935606062412262
1740681155.195839,245,0.9364197254180908
1740681155.580746,246,0.9371980428695679
1740681155.9588,247,0.9379432797431946
1740681156.343103,248,0.9380787014961243
1740681156.729731,249,0.9376417398452759
1740681157.111074,250,0.9383333325386047
